City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Vaini,TO,2022-04-17 23:52:34,-21.2,-175.2,84.36,79,75,6.91,broken clouds
60,Bandarbeyla,SO,2022-04-17 23:52:34,9.4942,50.8122,80.74,82,50,7.81,scattered clouds
61,Mahajanga,MG,2022-04-17 23:52:35,-15.7167,46.3167,77.02,78,20,4.61,few clouds
62,Faanui,PF,2022-04-17 23:52:35,-16.4833,-151.75,80.96,72,44,9.22,light rain
63,Port Alfred,ZA,2022-04-17 23:52:35,-33.5906,26.891,59.18,93,16,3.0,few clouds
64,Leningradskiy,RU,2022-04-17 23:52:35,69.3833,178.4167,17.2,89,83,4.27,broken clouds
65,Narsaq,GL,2022-04-17 23:46:30,60.9167,-46.05,34.02,91,81,3.51,broken clouds
66,Atar,MR,2022-04-17 23:46:29,20.5169,-13.0499,85.42,12,88,3.87,overcast clouds
67,Husavik,IS,2022-04-17 23:52:36,66.0449,-17.3389,40.28,97,100,3.09,light rain
68,Dingle,PH,2022-04-17 23:46:35,10.9995,122.6711,80.78,78,72,10.87,broken clouds
69,Inuvik,CA,2022-04-17 23:52:33,68.3499,-133.7218,25.66,34,40,12.66,scattered clouds
70,Guder,ET,2022-04-17 23:52:36,8.9667,37.7667,60.73,84,94,1.95,overcast clouds
71,San Patricio,US,2022-04-17 23:52:37,28.017,-97.5169,86.18,64,13,15.3,few clouds
72,Vila Franca Do Campo,PT,2022-04-17 23:43:57,37.7167,-25.4333,59.41,75,68,10.47,broken clouds
73,Trelew,AR,2022-04-17 23:52:37,-43.249,-65.3051,61.56,68,0,23.17,clear sky
74,Busselton,AU,2022-04-17 23:52:37,-33.65,115.3333,58.26,69,50,3.44,scattered clouds
75,Adre,TD,2022-04-17 23:52:38,13.4667,22.2,82.56,33,38,6.02,scattered clouds
76,Hobart,AU,2022-04-17 23:52:38,-42.8794,147.3294,56.23,90,75,1.01,broken clouds
77,Valparaiso,CL,2022-04-17 23:49:23,-33.0393,-71.6273,56.48,79,100,2.3,mist
78,Panzhihua,CN,2022-04-17 23:52:38,26.5851,101.7128,58.87,58,96,5.1,overcast clouds
79,Dubbo,AU,2022-04-17 23:52:39,-32.25,148.6167,69.93,64,79,13.8,broken clouds
80,Yakeshi,CN,2022-04-17 23:48:53,49.2833,120.7333,42.46,29,99,17.09,overcast clouds
81,Clyde River,CA,2022-04-17 23:52:39,70.4692,-68.5914,-14.57,76,40,3.44,scattered clouds
82,Alice Springs,AU,2022-04-17 23:50:19,-23.7,133.8833,76.55,32,12,12.66,few clouds
83,Kodiak,US,2022-04-17 23:52:39,57.79,-152.4072,42.31,70,100,9.22,overcast clouds
84,Upernavik,GL,2022-04-17 23:44:03,72.7868,-56.1549,-2.83,86,100,13.11,overcast clouds
85,Atuona,PF,2022-04-17 23:52:40,-9.8,-139.0333,79.65,78,8,17.07,clear sky
86,Sangar,RU,2022-04-17 23:52:40,63.9242,127.4739,25.25,83,100,19.37,overcast clouds
87,Pag,HR,2022-04-17 23:52:40,44.445,15.0575,50.58,54,4,16.87,clear sky
88,Qaanaaq,GL,2022-04-17 23:52:41,77.484,-69.3632,-18.6,76,1,4.45,clear sky
89,Bethel,US,2022-04-17 23:51:56,41.3712,-73.414,45.48,45,65,5.91,broken clouds
90,Fortuna,US,2022-04-17 23:52:41,40.5982,-124.1573,59.94,50,0,10.36,clear sky
91,Hilo,US,2022-04-17 23:51:16,19.7297,-155.09,77.29,91,100,3.0,mist
92,Vila Velha,BR,2022-04-17 23:46:31,-20.3297,-40.2925,75.15,80,75,10.36,broken clouds
93,Saint-Philippe,RE,2022-04-17 23:52:41,-21.3585,55.7679,73.22,87,62,9.06,light rain
94,Bathurst,AU,2022-04-17 23:53:42,-33.4166,149.5806,61.97,66,97,2.95,overcast clouds
95,Touros,BR,2022-04-17 23:53:42,-5.1989,-35.4608,80.29,78,87,8.7,overcast clouds
96,Kununurra,AU,2022-04-17 23:44:04,-15.7667,128.7333,78.78,89,23,3.44,few clouds
97,Alvdal,NO,2022-04-17 23:53:42,62.1077,10.6307,33.1,85,100,1.36,overcast clouds
98,Moussoro,TD,2022-04-17 23:45:12,13.6408,16.4901,91.56,20,54,9.73,broken clouds
99,Mwinilunga,ZM,2022-04-17 23:53:43,-11.7358,24.4293,61.41,98,96,3.04,overcast clouds
100,Rawson,AR,2022-04-17 23:46:32,-43.3002,-65.1023,60.51,74,0,24.61,clear sky
101,Bluff,NZ,2022-04-17 23:53:43,-46.6,168.3333,59.81,68,13,5.5,few clouds
102,Beatrice,US,2022-04-17 23:53:43,40.2681,-96.747,48.45,65,0,10.36,clear sky
103,Yuzhno-Kurilsk,RU,2022-04-17 23:53:44,44.0306,145.8556,42.55,79,31,6.98,scattered clouds
104,Sayaxche,GT,2022-04-17 23:53:44,16.5167,-90.1667,82.85,53,23,2.21,few clouds
105,Ponta Do Sol,PT,2022-04-17 23:53:44,32.6667,-17.1,66.83,54,95,12.21,overcast clouds
106,Ishigaki,JP,2022-04-17 23:53:45,24.3448,124.1572,71.73,88,75,1.14,broken clouds
107,Ostrovnoy,RU,2022-04-17 23:53:45,68.0531,39.5131,33.03,90,100,9.15,overcast clouds
108,Castro,BR,2022-04-17 23:53:45,-24.7911,-50.0119,51.85,96,2,4.99,clear sky
109,Yellowknife,CA,2022-04-17 23:53:45,62.456,-114.3525,19.92,49,20,8.05,few clouds
110,Syasstroy,RU,2022-04-17 23:53:46,60.1367,32.5691,32.43,92,100,3.51,overcast clouds
111,Muyezerskiy,RU,2022-04-17 23:44:03,63.9333,31.65,34.34,98,100,2.42,overcast clouds
112,Buala,SB,2022-04-17 23:53:46,-8.145,159.5921,83.34,75,95,8.05,light rain
113,Sault Sainte Marie,CA,2022-04-17 23:51:16,46.5168,-84.3333,43.09,51,0,10.36,clear sky
114,Portland,US,2022-04-17 23:51:44,45.5234,-122.6762,60.48,46,100,8.05,overcast clouds
115,Iqaluit,CA,2022-04-17 23:52:34,63.7506,-68.5145,-2.47,65,40,6.91,scattered clouds
116,Saskylakh,RU,2022-04-17 23:53:47,71.9167,114.0833,28.24,97,100,11.79,light snow
117,Salalah,OM,2022-04-17 23:53:47,17.0151,54.0924,78.17,87,17,2.53,few clouds
118,Inverness,GB,2022-04-17 23:53:47,57.4791,-4.224,55.8,72,75,8.05,light rain
119,Uruguaiana,BR,2022-04-17 23:53:48,-29.7547,-57.0883,64.33,72,40,5.75,scattered clouds
120,Yunyang,CN,2022-04-17 23:53:48,33.4474,112.7142,61.93,43,93,6.26,overcast clouds
121,Zabaykalsk,RU,2022-04-17 23:53:48,49.6333,117.3167,46.49,53,98,16.91,overcast clouds
122,Male,MV,2022-04-17 23:53:48,4.1748,73.5089,84.15,79,20,9.22,few clouds
123,Norman Wells,CA,2022-04-17 23:53:49,65.282,-126.8329,24.84,30,40,8.05,scattered clouds
124,Praia Da Vitoria,PT,2022-04-17 23:46:33,38.7333,-27.0667,59.25,77,40,14.92,scattered clouds
125,Durban,ZA,2022-04-17 23:53:49,-29.8579,31.0292,64.92,95,100,3.0,light rain
126,Nanortalik,GL,2022-04-17 23:53:49,60.1432,-45.2371,29.41,89,58,9.44,broken clouds
127,Port Elizabeth,ZA,2022-04-17 23:53:40,-33.918,25.5701,63.32,97,75,11.5,moderate rain
128,Tiksi,RU,2022-04-17 23:53:50,71.6872,128.8694,1.9,98,83,4.0,broken clouds
129,Dobrusevo,MK,2022-04-17 23:53:50,41.1686,21.4825,37.89,97,100,5.28,overcast clouds
130,Saint George,US,2022-04-17 23:45:22,37.1041,-113.5841,83.79,8,0,3.44,clear sky
131,Hasaki,JP,2022-04-17 23:53:57,35.7333,140.8333,64.29,66,78,10.98,broken clouds
132,Tessalit,ML,2022-04-17 23:53:58,20.1986,1.0114,73.02,23,0,9.6,clear sky
133,Biscarrosse,FR,2022-04-17 23:53:58,44.3945,-1.1672,55.35,94,75,5.75,broken clouds
134,Ewa Beach,US,2022-04-17 23:53:58,21.3156,-158.0072,79.43,67,100,6.91,overcast clouds
135,Hurghada,EG,2022-04-17 23:53:59,27.2574,33.8129,73.44,73,0,0.0,clear sky
136,Lagoa,PT,2022-04-17 23:53:59,39.05,-27.9833,57.07,66,61,15.73,broken clouds
137,Ribeira Grande,PT,2022-04-17 23:53:59,38.5167,-28.7,58.1,70,53,19.48,broken clouds
138,Havelock,US,2022-04-17 23:54:00,34.8791,-76.9013,60.8,64,0,16.11,clear sky
139,Daru,PG,2022-04-17 23:52:50,-9.0763,143.2092,84.72,70,94,4.81,overcast clouds
140,Cherskiy,RU,2022-04-17 23:55:00,68.75,161.3,13.73,82,100,4.18,overcast clouds
141,Avarua,CK,2022-04-17 23:55:00,-21.2078,-159.775,80.65,74,75,3.44,broken clouds
142,Lyuban,BY,2022-04-17 23:55:01,52.7985,28.0048,34.66,72,96,7.61,overcast clouds
143,Grinnell,US,2022-04-17 23:55:01,41.743,-92.7224,35.58,91,100,3.44,light snow
144,Varna,BG,2022-04-17 23:55:01,43.2167,27.9167,40.87,95,100,12.66,overcast clouds
145,Lata,PT,2022-04-17 23:55:02,40.1629,-8.3327,58.82,97,57,1.23,broken clouds
146,Bambanglipuro,ID,2022-04-17 23:55:02,-7.95,110.2833,79.36,84,98,4.09,overcast clouds
147,Urucara,BR,2022-04-17 23:55:03,-2.5364,-57.76,74.93,97,99,1.74,moderate rain
148,Meulaboh,ID,2022-04-17 23:55:03,4.1363,96.1285,78.13,88,100,2.8,overcast clouds
149,Lisala,CD,2022-04-17 23:55:04,2.15,21.5167,71.51,96,67,2.93,light rain
150,Severo-Kurilsk,RU,2022-04-17 23:46:36,50.6789,156.125,32.25,79,90,6.4,overcast clouds
151,Nouadhibou,MR,2022-04-17 23:55:04,20.931,-17.0347,66.18,94,40,8.05,scattered clouds
