City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
459,Dickinson,US,84.36,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
461,Venezuela,VE,89.46,overcast clouds,8.0,-66.0,
465,Yuli,NG,82.83,light rain,9.6989,10.2744,
472,Kieta,PG,82.85,light rain,-6.2167,155.6333,Uruna Bay Retreat
477,Tautira,PF,81.37,light rain,-17.7333,-149.15,Pension Oaoa
485,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
490,Navolato,MX,94.64,scattered clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
495,Gasa,PS,81.95,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
498,Diapaga,BF,90.14,overcast clouds,12.0708,1.7889,
500,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
504,Coahuayana,MX,81.36,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
505,Port Blair,IN,80.83,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
520,Paka,MY,80.02,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
522,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
523,Sabang,ID,83.08,overcast clouds,5.8933,95.3214,Hotel Citra
555,Tenenkou,ML,82.89,few clouds,14.4572,-4.9169,
582,Sur,OM,86.04,clear sky,22.5667,59.5289,Sur Plaza Hotel
591,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
592,Mitsamiouli,KM,81.21,clear sky,-11.3847,43.2844,Foyer ADM
603,Gaya,IN,80.49,clear sky,24.7833,85.0,Hotel Viraat Inn Gaya
605,Bang Racham,TH,85.17,broken clouds,14.892,100.3173,อมรรัตน์ สุวิชัย
621,Berbera,SO,81.18,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
623,Madang,PG,83.01,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
634,Noumea,NC,84.18,few clouds,-22.2763,166.4572,Hôtel Le Lagon
636,Rayong,TH,84.79,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
639,Ternate,ID,82.49,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
647,Morro Bay,US,81.48,broken clouds,35.3658,-120.8499,Inn at Morro Bay
654,Manaure,CO,83.93,overcast clouds,11.7751,-72.4445,Hotel Palaaima
665,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
673,Labuan,MY,80.71,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
675,Madaoua,NE,85.53,overcast clouds,14.073,5.96,
677,Thinadhoo,MV,83.43,overcast clouds,0.5333,72.9333,
682,San Estanislao,CO,84.09,overcast clouds,10.3983,-75.1511,Hostal Bugambilia
